year,siteID,miss,miss45
2007,AU-RDF,TRUE,TRUE
2008,AU-RDF,TRUE,TRUE
2009,AU-RDF,TRUE,TRUE
2010,AU-RDF,TRUE,TRUE
2014,AU-RDF,TRUE,TRUE
2011,AU-Rig,FALSE,FALSE
2012,AU-Rig,FALSE,FALSE
2013,AU-Rig,FALSE,FALSE
2014,AU-Rig,FALSE,FALSE
2001,AU-Rig,TRUE,TRUE
2002,AU-Rig,TRUE,TRUE
2003,AU-Rig,TRUE,TRUE
2004,AU-Rig,TRUE,TRUE
2005,AU-Rig,TRUE,TRUE
2006,AU-Rig,TRUE,TRUE
2007,AU-Rig,TRUE,TRUE
2008,AU-Rig,TRUE,TRUE
2009,AU-Rig,TRUE,TRUE
2010,AU-Rig,TRUE,TRUE
2014,AU-Rob,FALSE,FALSE
2001,AU-Rob,TRUE,TRUE
2002,AU-Rob,TRUE,TRUE
2003,AU-Rob,TRUE,TRUE
2004,AU-Rob,TRUE,TRUE
2005,AU-Rob,TRUE,TRUE
2006,AU-Rob,TRUE,TRUE
2007,AU-Rob,TRUE,TRUE
2008,AU-Rob,TRUE,TRUE
2009,AU-Rob,TRUE,TRUE
2010,AU-Rob,TRUE,TRUE
2011,AU-Rob,TRUE,TRUE
2012,AU-Rob,TRUE,TRUE
2013,AU-Rob,TRUE,TRUE
2008,AU-Stp,FALSE,FALSE
2009,AU-Stp,FALSE,FALSE
2010,AU-Stp,FALSE,FALSE
2011,AU-Stp,FALSE,FALSE
2012,AU-Stp,FALSE,FALSE
2013,AU-Stp,FALSE,FALSE
2014,AU-Stp,FALSE,FALSE
2001,AU-Stp,TRUE,TRUE
2002,AU-Stp,TRUE,TRUE
2003,AU-Stp,TRUE,TRUE
2004,AU-Stp,TRUE,TRUE
2005,AU-Stp,TRUE,TRUE
2006,AU-Stp,TRUE,TRUE
2007,AU-Stp,TRUE,TRUE
2012,AU-TTE,FALSE,FALSE
2013,AU-TTE,FALSE,FALSE
2001,AU-TTE,TRUE,TRUE
2002,AU-TTE,TRUE,TRUE
2003,AU-TTE,TRUE,TRUE
2004,AU-TTE,TRUE,TRUE
2005,AU-TTE,TRUE,TRUE
2006,AU-TTE,TRUE,TRUE
2007,AU-TTE,TRUE,TRUE
2008,AU-TTE,TRUE,TRUE
2009,AU-TTE,TRUE,TRUE
2010,AU-TTE,TRUE,TRUE
2011,AU-TTE,TRUE,TRUE
2014,AU-TTE,TRUE,TRUE
2001,AU-Tum,FALSE,FALSE
2002,AU-Tum,FALSE,FALSE
2003,AU-Tum,FALSE,FALSE
2004,AU-Tum,FALSE,FALSE
2005,AU-Tum,FALSE,FALSE
2006,AU-Tum,FALSE,FALSE
2007,AU-Tum,FALSE,FALSE
2008,AU-Tum,FALSE,FALSE
2009,AU-Tum,FALSE,FALSE
2010,AU-Tum,FALSE,FALSE
2011,AU-Tum,FALSE,FALSE
2012,AU-Tum,FALSE,FALSE
2013,AU-Tum,FALSE,FALSE
2014,AU-Tum,FALSE,FALSE
2005,AU-Wac,FALSE,FALSE
2006,AU-Wac,FALSE,FALSE
2007,AU-Wac,FALSE,FALSE
2008,AU-Wac,FALSE,FALSE
2001,AU-Wac,TRUE,TRUE
2002,AU-Wac,TRUE,TRUE
2003,AU-Wac,TRUE,TRUE
2004,AU-Wac,TRUE,TRUE
2009,AU-Wac,TRUE,TRUE
2010,AU-Wac,TRUE,TRUE
2011,AU-Wac,TRUE,TRUE
2012,AU-Wac,TRUE,TRUE
2013,AU-Wac,TRUE,TRUE
2014,AU-Wac,TRUE,TRUE
2011,AU-Whr,FALSE,FALSE
2012,AU-Whr,FALSE,FALSE
2013,AU-Whr,FALSE,FALSE
2014,AU-Whr,FALSE,FALSE
2001,AU-Whr,TRUE,TRUE
2002,AU-Whr,TRUE,TRUE
2003,AU-Whr,TRUE,TRUE
2004,AU-Whr,TRUE,TRUE
2005,AU-Whr,TRUE,TRUE
2006,AU-Whr,TRUE,TRUE
2007,AU-Whr,TRUE,TRUE
2008,AU-Whr,TRUE,TRUE
2009,AU-Whr,TRUE,TRUE
2010,AU-Whr,TRUE,TRUE
2010,AU-Wom,FALSE,FALSE
2011,AU-Wom,FALSE,FALSE
2012,AU-Wom,FALSE,FALSE
2001,AU-Wom,TRUE,TRUE
2002,AU-Wom,TRUE,TRUE
2003,AU-Wom,TRUE,TRUE
2004,AU-Wom,TRUE,TRUE
2005,AU-Wom,TRUE,TRUE
2006,AU-Wom,TRUE,TRUE
2007,AU-Wom,TRUE,TRUE
2008,AU-Wom,TRUE,TRUE
2009,AU-Wom,TRUE,TRUE
2013,AU-Wom,TRUE,TRUE
2014,AU-Wom,TRUE,TRUE
2012,AU-Ync,FALSE,FALSE
2013,AU-Ync,FALSE,FALSE
2014,AU-Ync,FALSE,FALSE
2001,AU-Ync,TRUE,TRUE
2002,AU-Ync,TRUE,TRUE
2003,AU-Ync,TRUE,TRUE
2004,AU-Ync,TRUE,TRUE
2005,AU-Ync,TRUE,TRUE
2006,AU-Ync,TRUE,TRUE
2007,AU-Ync,TRUE,TRUE
2008,AU-Ync,TRUE,TRUE
2009,AU-Ync,TRUE,TRUE
2010,AU-Ync,TRUE,TRUE
2011,AU-Ync,TRUE,TRUE
2001,BE-Bra,FALSE,FALSE
2002,BE-Bra,FALSE,FALSE
2003,BE-Bra,TRUE,TRUE
2004,BE-Bra,FALSE,FALSE
2005,BE-Bra,FALSE,FALSE
2006,BE-Bra,FALSE,FALSE
2007,BE-Bra,FALSE,FALSE
2008,BE-Bra,FALSE,FALSE
2009,BE-Bra,FALSE,FALSE
2010,BE-Bra,FALSE,FALSE
2011,BE-Bra,FALSE,FALSE
2012,BE-Bra,FALSE,FALSE
2013,BE-Bra,FALSE,FALSE
2014,BE-Bra,FALSE,FALSE
2004,BE-Lon,FALSE,FALSE
2005,BE-Lon,FALSE,FALSE
2006,BE-Lon,FALSE,FALSE
2007,BE-Lon,FALSE,FALSE
2008,BE-Lon,FALSE,FALSE
2009,BE-Lon,FALSE,FALSE
2010,BE-Lon,FALSE,FALSE
2011,BE-Lon,FALSE,FALSE
2012,BE-Lon,FALSE,FALSE
2013,BE-Lon,FALSE,FALSE
2014,BE-Lon,FALSE,FALSE
2001,BE-Lon,TRUE,TRUE
2002,BE-Lon,TRUE,TRUE
2003,BE-Lon,TRUE,TRUE
2001,BE-Vie,FALSE,FALSE
2002,BE-Vie,FALSE,FALSE
2003,BE-Vie,FALSE,FALSE
2004,BE-Vie,FALSE,FALSE
2005,BE-Vie,FALSE,FALSE
2006,BE-Vie,FALSE,FALSE
2007,BE-Vie,FALSE,FALSE
2008,BE-Vie,FALSE,FALSE
2009,BE-Vie,FALSE,FALSE
2010,BE-Vie,FALSE,FALSE
2011,BE-Vie,FALSE,FALSE
2012,BE-Vie,FALSE,FALSE
2013,BE-Vie,FALSE,FALSE
2014,BE-Vie,FALSE,FALSE
2001,BR-Sa3,FALSE,FALSE
2002,BR-Sa3,FALSE,FALSE
2003,BR-Sa3,FALSE,FALSE
2004,BR-Sa3,FALSE,FALSE
2005,BR-Sa3,TRUE,TRUE
2006,BR-Sa3,TRUE,TRUE
2007,BR-Sa3,TRUE,TRUE
2008,BR-Sa3,TRUE,TRUE
2009,BR-Sa3,TRUE,TRUE
2010,BR-Sa3,TRUE,TRUE
2011,BR-Sa3,TRUE,TRUE
2012,BR-Sa3,TRUE,TRUE
2013,BR-Sa3,TRUE,TRUE
2014,BR-Sa3,TRUE,TRUE
2001,CA-Man,FALSE,FALSE
2002,CA-Man,FALSE,FALSE
2003,CA-Man,FALSE,FALSE
2004,CA-Man,FALSE,FALSE
2005,CA-Man,FALSE,FALSE
2006,CA-Man,FALSE,FALSE
2007,CA-Man,FALSE,FALSE
2008,CA-Man,FALSE,FALSE
2009,CA-Man,TRUE,TRUE
2010,CA-Man,TRUE,TRUE
2011,CA-Man,TRUE,TRUE
2012,CA-Man,TRUE,TRUE
2013,CA-Man,TRUE,TRUE
2014,CA-Man,TRUE,TRUE
2001,CA-NS1,TRUE,TRUE
