"","site","year","f_gup_1","m_gup_1","f_gup_2","m_gup_2","f_midgup_1","m_midgup_1","f_midgup_2","m_midgup_2","f_maturity_1","m_maturity_1","f_maturity_2","m_maturity_2","f_peak_1","m_peak_1","f_peak_2","m_peak_2","f_sene_1","m_sene_1","f_sene_2","m_sene_2","f_midgdown_1","m_midgdown_1","f_midgdown_2","m_midgdown_2","f_dormancy_1","m_dormancy_1","f_dormancy_2","m_dormancy_2","f_gppmin_1","m_EVImin_1","f_gppmin_2","m_EVImin_2","f_gppamp_1","m_EVIamp_1","f_gppamp_2","m_EVIamp_2","f_gpparea_1","m_EVIarea_1","f_gpparea_2","m_EVIarea_2","IGBP","miss","miss45"
"289","DE-Spw","2010",14638,14699,NA,NA,14690,14731,NA,NA,14771,14762,NA,NA,14789,14789,NA,NA,14831,14833,NA,NA,14868,14890,NA,NA,14903,14918,NA,NA,1,0.12,NA,NA,10,0.4371,NA,NA,953,27.5,NA,NA,"WET",FALSE,FALSE
"290","DE-Spw","2011",15075,15072,NA,NA,15099,15095,NA,NA,15124,15127,NA,NA,15141,15163,NA,NA,15168,15191,NA,NA,15224,15263,NA,NA,15272,15293,NA,NA,0,0.1282,NA,NA,12,0.4113,NA,NA,528.1,27.8,NA,NA,"WET",FALSE,FALSE
"291","DE-Spw","2012",15438,15435,NA,NA,15460,15458,NA,NA,15484,15486,NA,NA,15506,15510,NA,NA,15561,15537,NA,NA,15605,15625,NA,NA,15634,15662,NA,NA,0,0.1252,NA,NA,12,0.4516,NA,NA,573.7,24.7,NA,NA,"WET",FALSE,FALSE
"292","DE-Spw","2013",15811,15809,NA,NA,15835,15826,NA,NA,15869,15847,NA,NA,15889,15900,NA,NA,15909,15943,NA,NA,15958,15992,NA,NA,15997,16022,NA,NA,0,0.1308,NA,NA,12,0.3901,NA,NA,636.8,29.8,NA,NA,"WET",FALSE,FALSE
"293","DE-Spw","2014",16162,16158,NA,NA,16195,16175,NA,NA,16241,16201,NA,NA,16261,16257,NA,NA,16284,16284,NA,NA,16323,16354,NA,NA,16359,16386,NA,NA,0,0.1379,NA,NA,12,0.4154,NA,NA,806.1,33.4,NA,NA,"WET",FALSE,FALSE
"294","DE-Tha","2001",11398,11418,NA,NA,11439,11443,NA,NA,11476,11480,NA,NA,11501,11502,NA,NA,11527,11573,NA,NA,11580,11612,NA,NA,11641,11628,NA,NA,1,0.2292,NA,NA,10,0.1546,NA,NA,686,9,NA,NA,"ENF",FALSE,FALSE
"295","DE-Tha","2002",11719,11777,NA,NA,11788,11805,NA,NA,11818,11834,NA,NA,11863,11853,NA,NA,11921,11873,NA,NA,11962,11950,NA,NA,12009,11993,NA,NA,0,0.2289,NA,NA,9,0.1983,NA,NA,790.6,10.2,NA,NA,"ENF",FALSE,FALSE
"296","DE-Tha","2003",12119,12154,NA,NA,12160,12175,NA,NA,12191,12199,NA,NA,12210,12220,NA,NA,12230,12259,NA,NA,12296,12319,NA,NA,12353,12365,NA,NA,0,0.1969,NA,NA,11,0.2062,NA,NA,619.5,9.7,NA,NA,"ENF",FALSE,FALSE
"297","DE-Tha","2004",12491,12497,NA,NA,12523,12539,NA,NA,12573,12587,NA,NA,12590,12611,NA,NA,12612,12627,NA,NA,12676,12665,NA,NA,12726,12738,NA,NA,0,0.2104,NA,NA,11,0.2096,NA,NA,737.1,15.4,NA,NA,"ENF",FALSE,FALSE
"298","DE-Tha","2005",12859,12890,NA,NA,12885,12907,NA,NA,12935,12928,NA,NA,12952,12948,NA,NA,12978,12986,NA,NA,13049,13070,NA,NA,13102,13109,NA,NA,0,0.2097,NA,NA,12,0.192,NA,NA,723.2,10,NA,NA,"ENF",FALSE,FALSE
"299","DE-Tha","2006",13231,13250,NA,NA,13254,13267,NA,NA,13292,13290,NA,NA,13321,13309,NA,NA,13341,13344,NA,NA,13415,13419,NA,NA,13465,13463,NA,NA,0,0.18,NA,NA,10,0.2264,NA,NA,681.5,9.6,NA,NA,"ENF",FALSE,FALSE
"300","DE-Tha","2007",13573,13514,NA,NA,13603,13626,NA,NA,13656,13651,NA,NA,13687,13672,NA,NA,13728,13694,NA,NA,13779,13789,NA,NA,13817,13822,NA,NA,1,0.2147,NA,NA,9,0.1968,NA,NA,743.5,12.2,NA,NA,"ENF",FALSE,FALSE
"301","DE-Tha","2008",13941,13957,NA,NA,13994,13998,NA,NA,14022,14030,NA,NA,14039,14057,NA,NA,14060,14075,NA,NA,14132,14154,NA,NA,14186,14193,NA,NA,1,0.2171,NA,NA,12,0.2184,NA,NA,667.5,15.2,NA,NA,"ENF",FALSE,FALSE
