"","site","year","f_gup_1","m_gup_1","f_gup_2","m_gup_2","f_midgup_1","m_midgup_1","f_midgup_2","m_midgup_2","f_maturity_1","m_maturity_1","f_maturity_2","m_maturity_2","f_peak_1","m_peak_1","f_peak_2","m_peak_2","f_sene_1","m_sene_1","f_sene_2","m_sene_2","f_midgdown_1","m_midgdown_1","f_midgdown_2","m_midgdown_2","f_dormancy_1","m_dormancy_1","f_dormancy_2","m_dormancy_2","f_gppmin_1","m_EVImin_1","f_gppmin_2","m_EVImin_2","f_gppamp_1","m_EVIamp_1","f_gppamp_2","m_EVIamp_2","f_gpparea_1","m_EVIarea_1","f_gpparea_2","m_EVIarea_2","IGBP","miss","miss45"
"49","BE-Bra","2006",13228,13240,NA,NA,13295,13269,NA,NA,13321,13296,NA,NA,13337,13324,NA,NA,13351,13364,NA,NA,13418,13446,NA,NA,13459,13480,NA,NA,1,0.2148,NA,NA,9,0.2667,NA,NA,542.8,16.9,NA,NA,"MF",FALSE,FALSE
"50","BE-Bra","2007",13560,13609,NA,NA,13617,13629,NA,NA,13655,13657,NA,NA,13673,13683,NA,NA,13729,13712,NA,NA,13765,13792,NA,NA,13807,13827,NA,NA,0,0.2291,NA,NA,8,0.2951,NA,NA,496,16.7,NA,NA,"MF",FALSE,FALSE
"51","BE-Bra","2008",13948,13971,NA,NA,14010,13997,NA,NA,14041,14024,NA,NA,14062,14051,NA,NA,14092,14084,NA,NA,14136,14171,NA,NA,14192,14210,NA,NA,1,0.1836,NA,NA,8,0.3257,NA,NA,542.1,18.3,NA,NA,"MF",FALSE,FALSE
"52","BE-Bra","2009",14321,14331,NA,NA,14360,14360,NA,NA,14413,14387,NA,NA,14461,14409,NA,NA,14478,14459,NA,NA,14514,14544,NA,NA,14549,14575,NA,NA,1,0.1993,NA,NA,8,0.3108,NA,NA,833.1,16.2,NA,NA,"MF",FALSE,FALSE
"53","BE-Bra","2010",14682,14635,NA,NA,14730,14732,NA,NA,14761,14758,NA,NA,14777,14779,NA,NA,14793,14807,NA,NA,14882,14916,NA,NA,14919,14939,NA,NA,1,0.1851,NA,NA,8,0.3046,NA,NA,454.3,19.2,NA,NA,"MF",FALSE,FALSE
"54","BE-Bra","2011",15039,14996,NA,NA,15073,15081,NA,NA,15141,15107,NA,NA,15169,15162,NA,NA,15196,15201,NA,NA,15246,15277,NA,NA,15297,15301,NA,NA,1,0.1934,NA,NA,10,0.2732,NA,NA,897.4,24.9,NA,NA,"MF",FALSE,FALSE
"55","BE-Bra","2012",15402,15433,NA,NA,15461,15463,NA,NA,15488,15501,NA,NA,15512,15533,NA,NA,15568,15555,NA,NA,15608,15643,NA,NA,15653,15672,NA,NA,0,0.2193,NA,NA,11,0.2714,NA,NA,711.4,19.9,NA,NA,"MF",FALSE,FALSE
"56","BE-Bra","2013",15768,15792,NA,NA,15805,15833,NA,NA,15856,15860,NA,NA,15872,15884,NA,NA,15907,15945,NA,NA,15958,15998,NA,NA,16017,16030,NA,NA,0,0.2012,NA,NA,10,0.3034,NA,NA,659.9,19,NA,NA,"MF",FALSE,FALSE
"57","BE-Bra","2014",16114,16160,NA,NA,16169,16181,NA,NA,16218,16206,NA,NA,16238,16227,NA,NA,16278,16261,NA,NA,16336,16363,NA,NA,16376,16396,NA,NA,1,0.2367,NA,NA,8,0.2942,NA,NA,631.2,15.1,NA,NA,"MF",FALSE,FALSE
"58","BE-Lon","2004",12556,12501,NA,NA,12573,12541,NA,NA,12592,12585,NA,NA,12609,12600,NA,NA,12629,12615,NA,NA,12676,12669,NA,NA,12706,12725,NA,NA,0,0.1921,NA,NA,15,0.4532,NA,NA,580.3,27,NA,NA,"CRO",FALSE,FALSE
"59","BE-Lon","2005",12862,12858,NA,NA,12888,12879,NA,NA,12916,12948,NA,NA,12933,12979,NA,NA,12949,13017,NA,NA,12971,13079,NA,NA,12990,13114,NA,NA,0,0.1606,NA,NA,17,0.3683,NA,NA,847.6,31.8,NA,NA,"CRO",FALSE,FALSE
"60","BE-Lon","2006",13290,13230,NA,NA,13307,13257,NA,NA,13324,13320,NA,NA,13335,13334,NA,NA,13346,13346,NA,NA,13363,13371,NA,NA,13378,13403,NA,NA,0,0.12,NA,NA,12,0.4722,NA,NA,388.7,32.7,NA,NA,"CRO",FALSE,FALSE
"61","BE-Lon","2007",13567,13561,NA,NA,13604,13631,NA,NA,13630,13656,NA,NA,13658,13671,NA,NA,13673,13691,NA,NA,13692,13718,NA,NA,13708,13787,NA,NA,1,0.3309,NA,NA,14,0.2098,NA,NA,864.4,10.6,NA,NA,"CRO",FALSE,FALSE
"62","BE-Lon","2008",14023,13993,NA,NA,14041,14034,NA,NA,14060,14057,NA,NA,14077,14071,NA,NA,14096,14089,NA,NA,14149,14156,NA,NA,14186,14200,NA,NA,0,0.2248,NA,NA,16,0.4435,NA,NA,596.8,20.1,NA,NA,"CRO",FALSE,FALSE
"63","BE-Lon","2009",14335,14324,NA,NA,14355,14347,NA,NA,14383,14368,NA,NA,14402,14385,NA,NA,14419,14411,NA,NA,14438,14443,NA,NA,14455,14464,NA,NA,0,0.1868,NA,NA,17,0.4605,NA,NA,811.8,20.5,NA,NA,"CRO",FALSE,FALSE
"64","BE-Lon","2010",14749,14671,NA,NA,14764,14768,NA,NA,14780,14786,NA,NA,14790,14799,NA,NA,14802,14845,NA,NA,14823,14886,NA,NA,14840,14914,NA,NA,0,0.12,NA,NA,10,0.4589,NA,NA,265.3,27.5,NA,NA,"CRO",FALSE,FALSE
"65","BE-Lon","2011",15049,15038,NA,NA,15070,15067,NA,NA,15091,15090,NA,NA,15106,15110,NA,NA,15121,15152,NA,NA,15146,15175,NA,NA,15175,15194,NA,NA,0,0.1302,NA,NA,17,0.4639,NA,NA,677.6,23.6,NA,NA,"CRO",FALSE,FALSE
"66","BE-Lon","2012",15502,15421,NA,NA,15522,15497,NA,NA,15543,15521,NA,NA,15557,15536,NA,NA,15574,15559,NA,NA,15600,15625,NA,NA,15626,15694,NA,NA,0,0.158,NA,NA,19,0.4173,NA,NA,723.9,24.9,NA,NA,"CRO",FALSE,FALSE
"67","BE-Lon","2013",15807,15791,NA,NA,15829,15823,NA,NA,15854,15867,NA,NA,15869,15887,NA,NA,15889,15900,NA,NA,15911,15916,NA,NA,15928,15929,NA,NA,0,0.12,NA,NA,16,0.5378,NA,NA,674.5,36.4,NA,NA,"CRO",FALSE,FALSE
"68","BE-Lon","2014",16199,16134,NA,NA,16215,16203,NA,NA,16230,16227,NA,NA,16240,16240,NA,NA,16249,16259,NA,NA,16265,16312,NA,NA,16283,16367,NA,NA,0,0.1233,NA,NA,9,0.5462,NA,NA,258.8,31,NA,NA,"CRO",FALSE,FALSE
"69","BE-Vie","2001",11402,11399,NA,NA,11440,11449,NA,NA,11473,11479,NA,NA,11495,11504,NA,NA,11534,11556,NA,NA,11585,11597,NA,NA,11642,11640,NA,NA,1,0.2102,NA,NA,9,0.3216,NA,NA,553.2,21.3,NA,NA,"MF",FALSE,FALSE
"70","BE-Vie","2002",11737,11781,NA,NA,11804,11813,NA,NA,11838,11838,NA,NA,11858,11855,NA,NA,11910,11886,NA,NA,11956,11988,NA,NA,11987,12020,NA,NA,0,0.2099,NA,NA,10,0.3089,NA,NA,707.5,16.2,NA,NA,"MF",FALSE,FALSE
"71","BE-Vie","2003",12092,12148,NA,NA,12166,12183,NA,NA,12207,12213,NA,NA,12225,12233,NA,NA,12255,12253,NA,NA,12318,12323,NA,NA,12359,12358,NA,NA,0,0.1881,NA,NA,10,0.3598,NA,NA,715,21.4,NA,NA,"MF",FALSE,FALSE
"72","BE-Vie","2004",12489,12510,NA,NA,12525,12541,NA,NA,12557,12565,NA,NA,12580,12583,NA,NA,12609,12604,NA,NA,12671,12686,NA,NA,12718,12726,NA,NA,1,0.2024,NA,NA,9,0.304,NA,NA,569.9,15.6,NA,NA,"MF",FALSE,FALSE
"73","BE-Vie","2005",12859,12865,NA,NA,12894,12904,NA,NA,12940,12955,NA,NA,12974,12976,NA,NA,12993,13001,NA,NA,13047,13061,NA,NA,13095,13104,NA,NA,0,0.1777,NA,NA,10,0.3144,NA,NA,791.8,22.2,NA,NA,"MF",FALSE,FALSE
"74","BE-Vie","2006",13230,13244,NA,NA,13261,13273,NA,NA,13302,13298,NA,NA,13321,13315,NA,NA,13346,13350,NA,NA,13417,13423,NA,NA,13454,13468,NA,NA,1,0.1766,NA,NA,9,0.3014,NA,NA,545.2,14.3,NA,NA,"MF",FALSE,FALSE
"75","BE-Vie","2007",13575,13563,NA,NA,13612,13622,NA,NA,13660,13639,NA,NA,13675,13723,NA,NA,13695,13745,NA,NA,13778,13783,NA,NA,13811,13832,NA,NA,1,0.2176,NA,NA,9,0.2261,NA,NA,565.3,23.9,NA,NA,"MF",FALSE,FALSE
"76","BE-Vie","2008",13935,13939,NA,NA,13993,13999,NA,NA,14027,14031,NA,NA,14082,14053,NA,NA,14106,14094,NA,NA,14151,14159,NA,NA,14185,14190,NA,NA,1,0.2005,NA,NA,9,0.3178,NA,NA,904.6,20.9,NA,NA,"MF",FALSE,FALSE
"77","BE-Vie","2009",14313,14320,NA,NA,14346,14360,NA,NA,14395,14391,NA,NA,14426,14427,NA,NA,14455,14452,NA,NA,14502,14512,NA,NA,14549,14549,NA,NA,1,0.1642,NA,NA,12,0.3677,NA,NA,931.3,26.5,NA,NA,"MF",FALSE,FALSE
"78","BE-Vie","2010",14691,14710,NA,NA,14736,14740,NA,NA,14767,14764,NA,NA,14788,14825,NA,NA,14815,14852,NA,NA,14877,14893,NA,NA,14910,14935,NA,NA,1,0.225,NA,NA,11,0.2793,NA,NA,691.1,24.6,NA,NA,"MF",FALSE,FALSE
"79","BE-Vie","2011",15016,15019,NA,NA,15071,15085,NA,NA,15100,15111,NA,NA,15118,15131,NA,NA,15162,15158,NA,NA,15232,15243,NA,NA,15276,15277,NA,NA,1,0.2054,NA,NA,10,0.2645,NA,NA,557.4,14.8,NA,NA,"MF",FALSE,FALSE
"80","BE-Vie","2012",15386,15438,NA,NA,15463,15464,NA,NA,15496,15495,NA,NA,15517,15518,NA,NA,15573,15545,NA,NA,15612,15605,NA,NA,15660,15641,NA,NA,0,0.2153,NA,NA,10,0.3041,NA,NA,702.1,16.8,NA,NA,"MF",FALSE,FALSE
"81","BE-Vie","2013",15771,15806,NA,NA,15820,15837,NA,NA,15869,15863,NA,NA,15910,15897,NA,NA,15932,15929,NA,NA,15977,15987,NA,NA,16009,16012,NA,NA,1,0.2155,NA,NA,11,0.3034,NA,NA,983.6,19.3,NA,NA,"MF",FALSE,FALSE
"82","BE-Vie","2014",16121,16153,NA,NA,16166,16184,NA,NA,16222,16213,NA,NA,16238,16236,NA,NA,16259,16299,NA,NA,16337,16342,NA,NA,16374,16366,NA,NA,1,0.2274,NA,NA,10,0.2991,NA,NA,691.6,18.4,NA,NA,"MF",FALSE,FALSE
"83","CA-Man","2002",11819,11832,NA,NA,11840,11855,NA,NA,11869,11877,NA,NA,11889,11892,NA,NA,11908,11911,NA,NA,11945,11942,NA,NA,11970,11969,NA,NA,0,0.1866,NA,NA,6,0.127,NA,NA,304.8,5,NA,NA,"ENF",FALSE,FALSE
"84","CA-Man","2003",12148,12158,NA,NA,12185,12183,NA,NA,12222,12213,NA,NA,12265,12231,NA,NA,12283,12248,NA,NA,12312,12307,NA,NA,12339,12345,NA,NA,0,0.1784,NA,NA,5,0.113,NA,NA,451.7,5.5,NA,NA,"ENF",FALSE,FALSE
"85","CA-Man","2006",13191,13250,NA,NA,13213,13278,NA,NA,13355,13333,NA,NA,13366,13361,NA,NA,13379,13377,NA,NA,13410,13405,NA,NA,13433,13436,NA,NA,1,0.1661,NA,NA,4,0.1191,NA,NA,496.8,9.3,NA,NA,"ENF",FALSE,FALSE
"86","CA-Man","2007",13621,13627,NA,NA,13643,13647,NA,NA,13671,13679,NA,NA,13701,13697,NA,NA,13727,13724,NA,NA,13778,13764,NA,NA,13807,13818,NA,NA,0,0.1654,NA,NA,5,0.115,NA,NA,303.6,5.8,NA,NA,"ENF",FALSE,FALSE
"87","CA-Man","2008",14003,14003,NA,NA,14022,14024,NA,NA,14057,14055,NA,NA,14082,14075,NA,NA,14105,14108,NA,NA,14130,14149,NA,NA,14199,14196,NA,NA,0,0.1368,NA,NA,6,0.1448,NA,NA,325,7.3,NA,NA,"ENF",FALSE,FALSE
"88","CA-NS1","2003",12159,12156,NA,NA,12180,12189,NA,NA,12204,12217,NA,NA,12232,12234,NA,NA,12260,12257,NA,NA,12313,12301,NA,NA,12344,12324,NA,NA,0,0.1901,NA,NA,6,0.1041,NA,NA,322.5,5.2,NA,NA,"ENF",FALSE,FALSE
"89","CA-NS1","2005",12881,12916,NA,NA,12920,12940,NA,NA,12951,12962,NA,NA,12984,12980,NA,NA,13005,13007,NA,NA,13063,13030,NA,NA,13126,13057,NA,NA,0,0.1951,NA,NA,6,0.1017,NA,NA,392.7,4.4,NA,NA,"ENF",FALSE,FALSE
"90","CA-NS2","2002",11813,11832,NA,NA,11830,11855,NA,NA,11860,11880,NA,NA,11891,11899,NA,NA,11911,11916,NA,NA,11944,11953,NA,NA,11969,11980,NA,NA,0,0.1968,NA,NA,6,0.1163,NA,NA,348.5,5.3,NA,NA,"ENF",FALSE,FALSE
"91","CA-NS2","2003",12162,12162,NA,NA,12185,12193,NA,NA,12213,12221,NA,NA,12235,12261,NA,NA,12272,12281,NA,NA,12310,12314,NA,NA,12340,12356,NA,NA,0,0.1905,NA,NA,6,0.1106,NA,NA,289.1,7.8,NA,NA,"ENF",FALSE,FALSE
"92","CA-NS2","2004",12546,12553,NA,NA,12564,12579,NA,NA,12590,12607,NA,NA,12611,12621,NA,NA,12640,12639,NA,NA,12674,12673,NA,NA,12703,12696,NA,NA,0,0.1844,NA,NA,5,0.121,NA,NA,251.7,5.6,NA,NA,"ENF",FALSE,FALSE
"93","CA-NS2","2005",12907,12911,NA,NA,12928,12940,NA,NA,12954,12969,NA,NA,12968,12982,NA,NA,12998,12997,NA,NA,13047,13026,NA,NA,13106,13045,NA,NA,0,0.1968,NA,NA,6,0.1275,NA,NA,239.6,5.7,NA,NA,"ENF",FALSE,FALSE
"94","CA-NS3","2001",11336,11457,NA,NA,11388,11482,NA,NA,11462,11507,NA,NA,11488,11524,NA,NA,11517,11540,NA,NA,11565,11567,NA,NA,11607,11594,NA,NA,0,0.2323,NA,NA,6,0.1312,NA,NA,633,5.8,NA,NA,"ENF",FALSE,FALSE
"95","CA-NS3","2002",11816,11847,NA,NA,11835,11864,NA,NA,11861,11884,NA,NA,11887,11896,NA,NA,11910,11916,NA,NA,11942,11955,NA,NA,11969,11996,NA,NA,0,0.2515,NA,NA,6,0.1201,NA,NA,332.5,4,NA,NA,"ENF",FALSE,FALSE
"96","CA-NS3","2003",12164,12182,NA,NA,12184,12207,NA,NA,12211,12229,NA,NA,12234,12242,NA,NA,12263,12263,NA,NA,12295,12306,NA,NA,12338,12327,NA,NA,0,0.2329,NA,NA,6,0.1313,NA,NA,320.2,5.4,NA,NA,"ENF",FALSE,FALSE
"97","CA-NS3","2004",12550,12565,NA,NA,12568,12591,NA,NA,12594,12618,NA,NA,12613,12633,NA,NA,12646,12649,NA,NA,12675,12670,NA,NA,12704,12691,NA,NA,0,0.2052,NA,NA,6,0.1712,NA,NA,273.5,8,NA,NA,"ENF",FALSE,FALSE
"98","CA-NS3","2005",12898,12924,NA,NA,12926,12947,NA,NA,12959,12968,NA,NA,12979,12982,NA,NA,13004,12999,NA,NA,13038,13028,NA,NA,13105,13052,NA,NA,0,0.2202,NA,NA,7,0.1576,NA,NA,364.9,6,NA,NA,"ENF",FALSE,FALSE
"99","CA-NS4","2003",12167,12158,NA,NA,12189,12197,NA,NA,12230,12230,NA,NA,12257,12259,NA,NA,12276,12283,NA,NA,12308,12311,NA,NA,12332,12341,NA,NA,0,0.1922,NA,NA,4,0.1511,NA,NA,295.2,10,NA,NA,"ENF",FALSE,FALSE
"100","CA-NS4","2005",12905,12902,NA,NA,12930,12942,NA,NA,12955,12965,NA,NA,12970,12978,NA,NA,12999,12995,NA,NA,13030,13033,NA,NA,13063,13054,NA,NA,0,0.1965,NA,NA,4,0.1543,NA,NA,178.6,6.7,NA,NA,"ENF",FALSE,FALSE
"101","CA-NS5","2001",11332,11453,NA,NA,11377,11484,NA,NA,11427,11512,NA,NA,11481,11532,NA,NA,11514,11551,NA,NA,11566,11572,NA,NA,11603,11592,NA,NA,0,0.1965,NA,NA,7,0.235,NA,NA,753.9,12.1,NA,NA,"ENF",FALSE,FALSE
"102","CA-NS5","2002",11819,11840,NA,NA,11841,11857,NA,NA,11867,11877,NA,NA,11886,11902,NA,NA,11907,11928,NA,NA,11937,11958,NA,NA,11963,12015,NA,NA,0,0.2017,NA,NA,7,0.2177,NA,NA,306.6,10,NA,NA,"ENF",FALSE,FALSE
"103","CA-NS5","2003",12170,12172,NA,NA,12191,12200,NA,NA,12218,12224,NA,NA,12242,12260,NA,NA,12273,12278,NA,NA,12307,12307,NA,NA,12334,12330,NA,NA,0,0.1816,NA,NA,7,0.226,NA,NA,353.5,14.3,NA,NA,"ENF",FALSE,FALSE
"104","CA-NS5","2004",12551,12549,NA,NA,12570,12589,NA,NA,12601,12615,NA,NA,12617,12632,NA,NA,12638,12648,NA,NA,12675,12672,NA,NA,12700,12703,NA,NA,0,0.1881,NA,NA,6,0.243,NA,NA,283.4,12.4,NA,NA,"ENF",FALSE,FALSE
"105","CA-NS5","2005",12906,12915,NA,NA,12930,12940,NA,NA,12955,12962,NA,NA,12971,12992,NA,NA,12994,13011,NA,NA,13027,13042,NA,NA,13100,13134,NA,NA,0,0.1972,NA,NA,7,0.2079,NA,NA,296.5,11.7,NA,NA,"ENF",FALSE,FALSE
"106","CA-NS6","2002",11836,11838,NA,NA,11855,11857,NA,NA,11873,11879,NA,NA,11887,11896,NA,NA,11906,11921,NA,NA,11937,11949,NA,NA,11959,11965,NA,NA,0,0.12,NA,NA,5,0.2517,NA,NA,175.1,10.1,NA,NA,"OSH",FALSE,FALSE
"107","CA-NS6","2003",12179,12184,NA,NA,12200,12204,NA,NA,12221,12225,NA,NA,12236,12240,NA,NA,12254,12269,NA,NA,12294,12304,NA,NA,12321,12326,NA,NA,0,0.1493,NA,NA,4,0.1821,NA,NA,162.2,7,NA,NA,"OSH",FALSE,FALSE
"108","CA-NS6","2004",12566,12560,NA,NA,12588,12589,NA,NA,12608,12614,NA,NA,12623,12631,NA,NA,12645,12651,NA,NA,12669,12675,NA,NA,12692,12698,NA,NA,0,0.1249,NA,NA,5,0.2302,NA,NA,178.1,11.3,NA,NA,"OSH",FALSE,FALSE
"109","CA-NS6","2005",12921,12908,NA,NA,12945,12944,NA,NA,12972,12976,NA,NA,12991,12996,NA,NA,13005,13014,NA,NA,13028,13041,NA,NA,13054,13113,NA,NA,0,0.121,NA,NA,5,0.2645,NA,NA,255.1,15.7,NA,NA,"OSH",FALSE,FALSE
"110","CA-NS7","2003",12184,12184,NA,NA,12210,12217,NA,NA,12233,12246,NA,NA,12246,12262,NA,NA,12263,12281,NA,NA,12297,12307,NA,NA,12320,12331,NA,NA,0,0.12,NA,NA,4,0.1725,NA,NA,174.9,8.5,NA,NA,"OSH",FALSE,FALSE
"111","CA-NS7","2004",12564,12580,NA,NA,12588,12601,NA,NA,12615,12622,NA,NA,12632,12637,NA,NA,12648,12654,NA,NA,12668,12675,NA,NA,12689,12694,NA,NA,0,0.12,NA,NA,5,0.1903,NA,NA,224.1,7.3,NA,NA,"OSH",FALSE,FALSE
"112","CA-NS7","2005",12924,12929,NA,NA,12947,12950,NA,NA,12970,12973,NA,NA,12986,12991,NA,NA,13001,13010,NA,NA,13025,13036,NA,NA,13049,13057,NA,NA,0,0.12,NA,NA,5,0.2059,NA,NA,201,8.8,NA,NA,"OSH",FALSE,FALSE
"113","CA-Qfo","2003",12051,12180,NA,NA,12090,12203,NA,NA,12174,12244,NA,NA,12211,12262,NA,NA,12247,12279,NA,NA,12307,12304,NA,NA,12337,12325,NA,NA,0,0.1795,NA,NA,7,0.1432,NA,NA,748,8.1,NA,NA,"ENF",FALSE,FALSE
"114","CA-Qfo","2004",12542,12556,NA,NA,12566,12576,NA,NA,12602,12612,NA,NA,12627,12637,NA,NA,12647,12659,NA,NA,12691,12683,NA,NA,12718,12707,NA,NA,0,0.1677,NA,NA,5,0.1539,NA,NA,310.2,8.9,NA,NA,"ENF",FALSE,FALSE
"115","CA-Qfo","2005",12899,12892,NA,NA,12920,12932,NA,NA,12958,12961,NA,NA,12988,12976,NA,NA,13013,12990,NA,NA,13050,13015,NA,NA,13081,13051,NA,NA,0,0.1863,NA,NA,6,0.1607,NA,NA,399.8,8.1,NA,NA,"ENF",FALSE,FALSE
"116","CA-Qfo","2006",13256,13269,NA,NA,13289,13299,NA,NA,13332,13326,NA,NA,13355,13340,NA,NA,13372,13359,NA,NA,13403,13405,NA,NA,13443,13427,NA,NA,0,0.2125,NA,NA,6,0.1074,NA,NA,423.1,4.8,NA,NA,"ENF",FALSE,FALSE
"117","CA-Qfo","2007",13626,13628,NA,NA,13656,13660,NA,NA,13696,13689,NA,NA,13716,13707,NA,NA,13735,13745,NA,NA,13775,13774,NA,NA,13814,13798,NA,NA,0,0.1695,NA,NA,6,0.1335,NA,NA,336.9,6.8,NA,NA,"ENF",FALSE,FALSE
"118","CA-Qfo","2008",13989,14001,NA,NA,14020,14034,NA,NA,14059,14058,NA,NA,14081,14074,NA,NA,14105,14118,NA,NA,14141,14160,NA,NA,14177,14186,NA,NA,0,0.175,NA,NA,6,0.1319,NA,NA,345.1,5.9,NA,NA,"ENF",FALSE,FALSE
"119","CA-Qfo","2009",14357,14372,NA,NA,14401,14402,NA,NA,14431,14433,NA,NA,14448,14450,NA,NA,14469,14474,NA,NA,14497,14519,NA,NA,14523,14575,NA,NA,0,0.1949,NA,NA,6,0.1267,NA,NA,319.8,6.4,NA,NA,"ENF",FALSE,FALSE
"120","CA-Qfo","2010",14723,14706,NA,NA,14747,14734,NA,NA,14794,14778,NA,NA,14811,14801,NA,NA,14845,14822,NA,NA,14878,14878,NA,NA,14906,14911,NA,NA,0,0.1353,NA,NA,6,0.1745,NA,NA,353.4,11.8,NA,NA,"ENF",FALSE,FALSE
"121","CA-SF2","2001",11363,11455,NA,NA,11396,11478,NA,NA,11448,11504,NA,NA,11527,11521,NA,NA,11552,11539,NA,NA,11591,11574,NA,NA,11636,11599,NA,NA,2,0.1738,NA,NA,7,0.2787,NA,NA,867.3,12.5,NA,NA,"ENF",FALSE,FALSE
"122","CA-SF2","2002",11792,11836,NA,NA,11825,11853,NA,NA,11873,11874,NA,NA,11891,11894,NA,NA,11913,11921,NA,NA,11939,11948,NA,NA,11957,11976,NA,NA,0,0.1864,NA,NA,9,0.267,NA,NA,592.9,11.1,NA,NA,"ENF",FALSE,FALSE
"123","CA-SF2","2003",12154,12169,NA,NA,12195,12197,NA,NA,12224,12223,NA,NA,12241,12240,NA,NA,12260,12265,NA,NA,12297,12316,NA,NA,12343,12336,NA,NA,0,0.1622,NA,NA,9,0.268,NA,NA,486.2,12.5,NA,NA,"ENF",FALSE,FALSE
"124","CA-SF2","2004",12544,12564,NA,NA,12578,12587,NA,NA,12610,12609,NA,NA,12628,12623,NA,NA,12645,12641,NA,NA,12669,12670,NA,NA,12710,12694,NA,NA,1,0.1855,NA,NA,9,0.2817,NA,NA,511.6,11.1,NA,NA,"ENF",FALSE,FALSE
"125","CA-SF2","2005",12855,12924,NA,NA,12932,12941,NA,NA,12956,12963,NA,NA,12976,12993,NA,NA,13000,13016,NA,NA,13065,13039,NA,NA,13114,13060,NA,NA,1,0.2127,NA,NA,9,0.2549,NA,NA,537.2,13.4,NA,NA,"ENF",FALSE,FALSE
"126","CA-SF3","2004",12472,12563,NA,NA,12589,12585,NA,NA,12609,12607,NA,NA,12622,12624,NA,NA,12638,12642,NA,NA,12664,12668,NA,NA,12696,12699,NA,NA,0,0.12,NA,NA,4,0.217,NA,NA,252.4,9.7,NA,NA,"OSH",FALSE,FALSE
"127","CA-SF3","2005",12893,12907,NA,NA,12932,12938,NA,NA,12954,12966,NA,NA,12968,12990,NA,NA,12986,13011,NA,NA,13023,13036,NA,NA,13084,13069,NA,NA,0,0.133,NA,NA,4,0.2364,NA,NA,202.1,13.4,NA,NA,"OSH",FALSE,FALSE
"128","CH-Cha","2005",12790,12856,NA,NA,12835,12870,NA,NA,12924,12926,NA,NA,12956,12977,NA,NA,12988,13012,NA,NA,13079,13074,NA,NA,13113,13114,NA,NA,1,0.2959,NA,NA,12,0.291,NA,NA,1292.3,29,NA,NA,"GRA",FALSE,FALSE
"129","CH-Cha","2006",13227,13232,NA,NA,13251,13256,NA,NA,13293,13363,NA,NA,13330,13380,NA,NA,13347,13394,NA,NA,13397,13419,NA,NA,13467,13505,NA,NA,0,0.3373,NA,NA,13,0.248,NA,NA,981.8,27.7,NA,NA,"GRA",FALSE,FALSE
"130","CH-Cha","2007",13550,13555,NA,NA,13586,13584,NA,NA,13671,13666,NA,NA,13683,13684,NA,NA,13698,13700,NA,NA,13784,13769,NA,NA,13816,13833,NA,NA,2,0.3957,NA,NA,13,0.2006,NA,NA,1117.3,17.9,NA,NA,"GRA",FALSE,FALSE
"131","CH-Cha","2008",13930,13946,NA,NA,13963,13969,NA,NA,13991,14079,NA,NA,14092,14099,NA,NA,14107,14123,NA,NA,14142,14172,NA,NA,14189,14273,NA,NA,3,0.4104,NA,NA,10,0.1871,NA,NA,1246.5,19.9,NA,NA,"GRA",FALSE,FALSE
"132","CH-Cha","2009",14271,14306,NA,NA,14311,14328,NA,NA,14369,14357,NA,NA,14399,14450,NA,NA,14432,14471,NA,NA,14518,14579,NA,NA,14549,14603,NA,NA,2,0.2699,NA,NA,12,0.3394,NA,NA,1036.6,39.8,NA,NA,"GRA",FALSE,FALSE
"133","CH-Cha","2010",14661,14658,NA,NA,14686,14692,NA,NA,14761,14719,NA,NA,14775,14735,NA,NA,14792,14750,NA,NA,14884,14784,NA,NA,14926,14914,NA,NA,1,0.2797,NA,NA,11,0.3336,NA,NA,887.7,15.8,NA,NA,"GRA",FALSE,FALSE
"134","CH-Cha","2011",15031,15046,NA,NA,15055,15065,NA,NA,15175,15134,NA,NA,15191,15183,NA,NA,15205,15204,NA,NA,15252,15262,NA,NA,15332,15342,NA,NA,2,0.3663,NA,NA,10,0.2254,NA,NA,1082.1,23.2,NA,NA,"GRA",FALSE,FALSE
"135","CH-Cha","2012",15452,15424,NA,NA,15483,15445,NA,NA,15507,15489,NA,NA,15523,15505,NA,NA,15551,15534,NA,NA,15602,15615,NA,NA,15649,15635,NA,NA,0,0.3332,NA,NA,12,0.2414,NA,NA,537.3,13.6,NA,NA,"GRA",FALSE,FALSE
"136","CH-Cha","2013",15765,15773,NA,NA,15796,15793,NA,NA,15818,15816,NA,NA,15830,15828,NA,NA,15841,15839,NA,NA,15939,15855,NA,NA,15997,16005,NA,NA,1,0.2835,NA,NA,13,0.3233,NA,NA,537.6,11.8,NA,NA,"GRA",FALSE,FALSE
"137","CH-Cha","2014",16119,16133,NA,NA,16152,16154,NA,NA,16252,16187,NA,NA,16271,16200,NA,NA,16288,16211,NA,NA,16345,16317,NA,NA,16373,16374,NA,NA,2,0.3436,NA,NA,12,0.2502,NA,NA,1249.6,12.6,NA,NA,"GRA",FALSE,FALSE
"138","CH-Dav","2002",11755,11823,NA,NA,11804,11841,NA,NA,11864,11872,NA,NA,11892,11886,NA,NA,11911,11906,NA,NA,11955,11965,NA,NA,12008,12053,NA,NA,0,0.2559,NA,NA,7,0.1786,NA,NA,661.8,7.8,NA,NA,"ENF",FALSE,FALSE
