siteID,site_name,site_desc,country,province_state,data_tier2015,data_start2015,data_end2015,lat,lon,elev_m,IGBP,MAT,MAP
BE-Lon,Lonzee,grassland with wetland,Belgium,NA,2,2004,2014,50.5516,4.74613,167,CRO,10,800
BE-Vie,Vielsalm,mixed forest,Belgium,NA,1,1996,2014,50.30496,5.99808,493,MF,7.8,1062
BE-Vie,Vielsalm,mixed forest,Belgium,NA,2,1996,2014,50.30496,5.99808,493,MF,7.8,1062
BR-Sa1,Santarem-Km67-Primary Forest,Primary Forest,Brazil,NA,2,2002,2011,-2.85667,-54.95889,88,EBF,26.13,2074.79
BR-Sa3,Santarem-Km83-Logged Forest,Logged Forest,Brazil,NA,1,2000,2004,-3.01803,-54.97144,100,EBF,26.12,2043.77
BR-Sa3,Santarem-Km83-Logged Forest,Logged Forest,Brazil,NA,2,2000,2004,-3.01803,-54.97144,100,EBF,26.12,2043.77
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",Boreal Mixedwood Forest,Canada,Ontario,2,2003,2014,48.2167,-82.1556,340,MF,1.3,831
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),Northern Old Black Spruce,Canada,Manitoba,1,1994,2008,55.87962,-98.48081,259,ENF,-3.2,520
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),Northern Old Black Spruce,Canada,Manitoba,2,1994,2008,55.87962,-98.48081,259,ENF,-3.2,520
CA-NS1,UCI-1850 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,1,2001,2005,55.87917,-98.48389,260,ENF,-2.89,500.29
CA-NS1,UCI-1850 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,2,2001,2005,55.87917,-98.48389,260,ENF,-2.89,500.29
CA-NS2,UCI-1930 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,1,2001,2005,55.90583,-98.52472,260,ENF,-2.88,499.82
CA-NS2,UCI-1930 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,2,2001,2005,55.90583,-98.52472,260,ENF,-2.88,499.82
CA-NS3,UCI-1964 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,1,2001,2005,55.91167,-98.38222,260,ENF,-2.87,502.22
CA-NS3,UCI-1964 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,2,2001,2005,55.91167,-98.38222,260,ENF,-2.87,502.22
CA-NS4,UCI-1964 burn site wet,"burn site wet, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,1,2002,2005,55.91437,-98.380645,260,ENF,-2.87,502.22
CA-NS4,UCI-1964 burn site wet,"burn site wet, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,2,2002,2005,55.91437,-98.380645,260,ENF,-2.87,502.22
CA-NS5,UCI-1981 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,1,2001,2005,55.86306,-98.485,260,ENF,-2.86,500.34
CA-NS5,UCI-1981 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,2,2001,2005,55.86306,-98.485,260,ENF,-2.86,500.34
CA-NS6,UCI-1989 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,1,2001,2005,55.91667,-98.96444,244,OSH,-3.08,495.37
CA-NS6,UCI-1989 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,2,2001,2005,55.91667,-98.96444,244,OSH,-3.08,495.37
CA-NS7,UCI-1998 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,1,2002,2005,56.63583,-99.94833,297,OSH,-3.52,483.27
CA-NS7,UCI-1998 burn site,"burn site, evergreen needleleaf forest, Black Spruce",Canada,Manitoba,2,2002,2005,56.63583,-99.94833,297,OSH,-3.52,483.27
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen","Western Boreal, Mature Aspen",Canada,Saskatchewan,2,1996,2010,53.62889,-106.19779,530,DBF,0.34,428.53
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce","Western Boreal, Mature Black Spruce",Canada,Saskatchewan,2,1997,2010,53.98717,-105.11779,629,ENF,0.79,405.6
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce","Eastern Boreal, Mature Black Spruce",Canada,Quebec,1,2003,2010,49.6925,-74.34206,382,ENF,-0.36,962.32
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce","Eastern Boreal, Mature Black Spruce",Canada,Quebec,2,2003,2010,49.6925,-74.34206,382,ENF,-0.36,962.32
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977","Western Boreal, forest burned in 1977",Canada,Saskatchewan,1,2003,2006,54.48503,-105.81757,536,ENF,0.4,470
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977","Western Boreal, forest burned in 1977",Canada,Saskatchewan,2,2003,2006,54.48503,-105.81757,536,ENF,0.4,470
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989","Western Boreal, forest burned in 1989",Canada,Saskatchewan,1,2001,2005,54.25392,-105.8775,520,ENF,0.4,470
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989","Western Boreal, forest burned in 1989",Canada,Saskatchewan,2,2001,2005,54.25392,-105.8775,520,ENF,0.4,470
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998","Western Boreal, forest burned in 1998",Canada,Saskatchewan,1,2001,2006,54.09156,-106.00526,540,OSH,0.4,470
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998","Western Boreal, forest burned in 1998",Canada,Saskatchewan,2,2001,2006,54.09156,-106.00526,540,OSH,0.4,470
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,Plantation White Pine,Canada,Ontario,2,2002,2014,42.66093611,-80.55951944,265,ENF,8,1036
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,Plantation White Pine,Canada,Ontario,2,2002,2007,42.77441944,-80.458775,212,ENF,8,1036
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,Plantation White Pine,Canada,Ontario,2,2002,2014,42.70681111,-80.34831389,184,ENF,8,1036
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,Plantation White Pine,Canada,Ontario,2,2002,2014,42.710161,-80.357376,184,ENF,8,1036
