site_name,year,gpp_var,f_gpparea_1,f_gppamp_1,f_gppmin_1,f_gup_1,f_midgup_1,f_maturity_1,f_peak_1,f_sene_1,f_midgdown_1,f_dormancy_1,f_qa_1,f_qadetailed_1,f_gpparea_2,f_gppamp_2,f_gppmin_2,f_gup_2,f_midgup_2,f_maturity_2,f_peak_2,f_sene_2,f_midgdown_2,f_dormancy_2,f_qa_2,f_qadetailed_2
AU-Tum,2001,GPP_DT_VUT_REF,715.5,10,4,11217,11285,11322,11340,11372,11411,11480,0,0,,,,,,,,,,,,
BE-Bra,2001,GPP_DT_VUT_REF,416.9,7,1,11383,11442,11473,11493,11535,11595,11634,0,0,,,,,,,,,,,,
BE-Vie,2001,GPP_DT_VUT_REF,553.2,9,1,11402,11440,11473,11495,11534,11585,11642,0,0,,,,,,,,,,,,
CA-Man,2001,GPP_DT_VUT_REF,377.3,6,0,11432,11454,11500,11518,11549,11586,11612,0,0,,,,,,,,,,,,
CA-NS2,2001,GPP_DT_VUT_REF,595.6,6,0,11338,11393,11461,11484,11540,11579,11607,0,0,,,,,,,,,,,,
CA-NS3,2001,GPP_DT_VUT_REF,633,6,0,11336,11388,11462,11488,11517,11565,11607,0,0,,,,,,,,,,,,
CA-NS5,2001,GPP_DT_VUT_REF,753.9,7,0,11332,11377,11427,11481,11514,11566,11603,0,0,,,,,,,,,,,,
CA-SF2,2001,GPP_DT_VUT_REF,867.3,7,2,11363,11396,11448,11527,11552,11591,11636,0,0,,,,,,,,,,,,
CH-Dav,2001,GPP_DT_VUT_REF,726.9,6,0,11371,11437,11489,11539,11562,11610,11638,0,0,,,,,,,,,,,,
DE-Geb,2001,GPP_DT_VUT_REF,673.2,14,0,11397,11428,11454,11468,11485,11507,11524,0,0,,,,,,,,,,,,
DE-Hai,2001,GPP_DT_VUT_REF,715.9,13,0,11435,11456,11484,11510,11543,11579,11616,0,0,,,,,,,,,,,,
DE-Tha,2001,GPP_DT_VUT_REF,686,10,1,11398,11439,11476,11501,11527,11580,11641,0,0,,,,,,,,,,,,
DK-Sor,2001,GPP_DT_VUT_REF,689.6,15,0,11434,11455,11481,11500,11517,11566,11618,0,0,,,,,,,,,,,,
FI-Hyy,2001,GPP_DT_VUT_REF,555.9,8,0,11421,11454,11503,11524,11544,11574,11612,0,0,,,,,,,,,,,,
FI-Jok,2001,GPP_DT_VUT_REF,185.4,7,0,11473,11489,11505,11515,11526,11545,11567,0,0,,,,,,,,,,,,
FI-Sod,2001,GPP_DT_VUT_REF,296.9,7,0,11445,11478,11501,11516,11533,11566,11605,0,0,,,,,,,,,,,,
FR-LBr,2001,GPP_DT_VUT_REF,717.9,10,2,11368,11447,11482,11503,11526,11560,11660,0,0,,,,,,,,,,,,
FR-Pue,2001,GPP_DT_VUT_REF,454.2,5,2,11353,11385,11462,11484,11499,11522,11654,0,0,,,,,,,,,,,,
IT-Col,2001,GPP_DT_VUT_REF,389.5,9,0,11440,11457,11479,11498,11521,11575,11601,0,0,,,,,,,,,,,,
IT-Cpz,2001,GPP_DT_VUT_REF,460,6,3,11348,11381,11451,11469,11486,11511,11615,0,0,,,,,,,,,,,,
IT-La2,2001,GPP_DT_VUT_REF,961.5,11,1,11381,11426,11457,11502,11518,11581,11634,0,0,,,,,,,,,,,,
IT-Ro1,2001,GPP_DT_VUT_REF,578.6,10,1,11349,11423,11449,11464,11481,11520,11625,0,0,,,,,,,,,,,,
IT-SRo,2001,GPP_DT_VUT_REF,531.3,7,1,11361,11401,11452,11477,11498,11607,11638,0,0,,,,,,,,,,,,
NL-Loo,2001,GPP_DT_VUT_REF,719.6,7,1,11404,11433,11514,11537,11564,11606,11640,0,0,,,,,,,,,,,,
RU-Fyo,2001,GPP_DT_VUT_REF,686.6,12,0,11413,11442,11480,11498,11513,11561,11619,0,0,,,,,,,,,,,,
US-Blo,2001,GPP_DT_VUT_REF,352.7,5,1,11386,11445,11490,11508,11525,11566,11638,0,0,,,,,,,,,,,,
US-Ha1,2001,GPP_DT_VUT_REF,623.8,13,0,11439,11467,11494,11513,11543,11589,11614,0,0,,,,,,,,,,,,
US-Los,2001,GPP_DT_VUT_REF,390.4,9,0,11441,11473,11498,11513,11530,11572,11599,0,0,,,,,,,,,,,,
US-MMS,2001,GPP_DT_VUT_REF,610.9,12,0,11426,11444,11472,11497,11564,11595,11616,0,0,,,,,,,,,,,,
US-Ne1,2001,GPP_DT_VUT_REF,832.1,23,0,11478,11494,11514,11530,11546,11573,11594,0,0,,,,,,,,,,,,
US-Ne2,2001,GPP_DT_VUT_REF,744,21,2,11481,11498,11515,11528,11543,11570,11592,0,0,,,,,,,,,,,,
US-Ne3,2001,GPP_DT_VUT_REF,661.1,18,2,11481,11497,11514,11527,11543,11574,11597,0,0,,,,,,,,,,,,
US-NR1,2001,GPP_DT_VUT_REF,302,7,0,11430,11450,11476,11494,11554,11595,11628,0,0,,,,,,,,,,,,
US-PFa,2001,GPP_DT_VUT_REF,444,7,0,11433,11458,11495,11527,11550,11585,11619,0,0,,,,,,,,,,,,
US-Syv,2001,GPP_DT_VUT_REF,637.5,6,1,11334,11374,11483,11506,11537,11582,11604,0,0,,,,,,,,,,,,
US-UMB,2001,GPP_DT_VUT_REF,369.4,8,0,11438,11457,11482,11500,11535,11584,11607,0,0,,,,,,,,,,,,
US-Var,2001,GPP_DT_VUT_REF,393.9,5,2,11281,11324,11405,11417,11432,11450,11468,0,0,,,,,,,,,,,,
US-WCr,2001,GPP_DT_VUT_REF,585.9,11,0,11448,11468,11504,11523,11540,11575,11598,0,0,,,,,,,,,,,,
ZA-Kru,2001,GPP_DT_VUT_REF,142.3,5,3,11362,11375,11392,11406,11423,11454,11492,0,0,278.9,8,0,11617,11640,11659,11672,11686,11722,11775,0,0
AT-Neu,2002,GPP_DT_VUT_REF,417.3,12,0,11773,11792,11811,11823,11835,11945,11965,0,0,,,,,,,,,,,,
AU-How,2002,GPP_DT_VUT_REF,685.1,6,2,11593,11609,11761,11770,11780,11801,11832,0,0,304.7,8,2,11992,12010,12029,12044,12067,12165,12214,0,0
AU-Tum,2002,GPP_DT_VUT_REF,741.9,7,5,11585,11606,11664,11743,11758,11814,11833,0,0,134.3,6,2,11994,12006,12019,12027,12119,12152,12167,0,0
BE-Vie,2002,GPP_DT_VUT_REF,707.5,10,0,11737,11804,11838,11858,11910,11956,11987,0,0,,,,,,,,,,,,
CA-Man,2002,GPP_DT_VUT_REF,304.8,6,0,11819,11840,11869,11889,11908,11945,11970,0,0,,,,,,,,,,,,
CA-NS2,2002,GPP_DT_VUT_REF,348.5,6,0,11813,11830,11860,11891,11911,11944,11969,0,0,,,,,,,,,,,,
CA-NS3,2002,GPP_DT_VUT_REF,332.5,6,0,11816,11835,11861,11887,11910,11942,11969,0,0,,,,,,,,,,,,
CA-NS5,2002,GPP_DT_VUT_REF,306.6,7,0,11819,11841,11867,11886,11907,11937,11963,0,0,,,,,,,,,,,,
CA-NS6,2002,GPP_DT_VUT_REF,175.1,5,0,11836,11855,11873,11887,11906,11937,11959,0,0,,,,,,,,,,,,
CA-SF2,2002,GPP_DT_VUT_REF,592.9,9,0,11792,11825,11873,11891,11913,11939,11957,0,0,,,,,,,,,,,,
CH-Dav,2002,GPP_DT_VUT_REF,661.8,7,0,11755,11804,11864,11892,11911,11955,12008,0,0,,,,,,,,,,,,
CH-Oe1,2002,GPP_DT_VUT_REF,925.9,10,1,11743,11765,11878,11890,11903,11958,12023,0,0,,,,,,,,,,,,
CN-HaM,2002,GPP_DT_VUT_REF,257.4,6,0,11822,11846,11870,11887,11909,11941,11962,0,0,,,,,,,,,,,,
DE-Geb,2002,GPP_DT_VUT_REF,412.9,11,0,11810,11834,11853,11866,11880,11908,11929,0,0,,,,,,,,,,,,
DE-Hai,2002,GPP_DT_VUT_REF,1125.9,12,0,11795,11820,11847,11910,11928,11956,11979,0,0,,,,,,,,,,,,
DE-Tha,2002,GPP_DT_VUT_REF,790.6,9,0,11719,11788,11818,11863,11921,11962,12009,0,0,,,,,,,,,,,,
DK-Sor,2002,GPP_DT_VUT_REF,589,14,0,11793,11814,11835,11852,11874,11936,11972,0,0,,,,,,,,,,,,
FI-Hyy,2002,GPP_DT_VUT_REF,587.6,8,0,11783,11812,11844,11880,11913,11944,11972,0,0,,,,,,,,,,,,
FI-Jok,2002,GPP_DT_VUT_REF,303,6,0,11800,11826,11874,11886,11897,11931,11966,0,0,,,,,,,,,,,,
FI-Sod,2002,GPP_DT_VUT_REF,517.6,8,0,11791,11830,11878,11895,11917,11941,11964,0,0,,,,,,,,,,,,
FR-Pue,2002,GPP_DT_VUT_REF,424.4,6,2,11719,11772,11827,11841,11854,11964,12009,0,0,,,,,,,,,,,,
IT-Col,2002,GPP_DT_VUT_REF,205.5,6,0,11803,11819,11837,11853,11870,11905,11949,0,0,,,,,,,,,,,,
IT-PT1,2002,GPP_DT_VUT_REF,805.3,13,0,11774,11801,11834,11857,11885,11936,11969,0,0,,,,,,,,,,,,
IT-Ren,2002,GPP_DT_VUT_REF,621.6,8,0,11748,11819,11864,11884,11903,11963,12000,0,0,,,,,,,,,,,,
IT-Ro1,2002,GPP_DT_VUT_REF,388.1,9,0,11758,11799,11821,11833,11844,11964,12002,0,0,,,,,,,,,,,,
IT-Ro2,2002,GPP_DT_VUT_REF,336.2,10,0,11784,11806,11823,11834,11845,11975,12005,0,0,,,,,,,,,,,,
IT-SRo,2002,GPP_DT_VUT_REF,512.2,6,2,11715,11740,11812,11830,11845,11948,11989,0,0,,,,,,,,,,,,
NL-Loo,2002,GPP_DT_VUT_REF,805.4,8,1,11724,11783,11863,11886,11928,11964,12012,0,0,,,,,,,,,,,,
RU-Che,2002,GPP_DT_VUT_REF,463.3,6,0,11734,11774,11820,11846,11871,11914,11935,0,0,,,,,,,,,,,,
RU-Fyo,2002,GPP_DT_VUT_REF,501,10,0,11797,11825,11854,11870,11889,11917,11974,0,0,,,,,,,,,,,,
RU-Ha1,2002,GPP_DT_VUT_REF,447.2,5,0,11694,11739,11795,11835,11869,11936,11963,0,0,,,,,,,,,,,,
US-Blo,2002,GPP_DT_VUT_REF,463.5,5,1,11735,11790,11865,11885,11901,11953,12025,0,0,,,,,,,,,,,,
US-GBT,2002,GPP_DT_VUT_REF,320,5,0,11801,11826,11853,11887,11907,11944,11969,0,0,,,,,,,,,,,,
US-Ha1,2002,GPP_DT_VUT_REF,541.2,13,0,11823,11842,11863,11881,11907,11948,11978,0,0,,,,,,,,,,,,
US-Los,2002,GPP_DT_VUT_REF,338.2,9,0,11827,11845,11867,11882,11900,11931,11953,0,0,,,,,,,,,,,,
US-Me2,2002,GPP_DT_VUT_REF,548,8,1,11757,11786,11829,11859,11875,11916,11997,0,0,,,,,,,,,,,,
US-MMS,2002,GPP_DT_VUT_REF,669.3,14,0,11799,11822,11849,11869,11892,11939,11984,0,0,,,,,,,,,,,,
US-Ne1,2002,GPP_DT_VUT_REF,783.6,23,0,11842,11858,11877,11890,11906,11934,11955,0,0,,,,,,,,,,,,
US-Ne2,2002,GPP_DT_VUT_REF,500.4,13,1,11854,11874,11894,11907,11920,11937,11953,0,0,,,,,,,,,,,,
US-Ne3,2002,GPP_DT_VUT_REF,495.1,12,0,11844,11868,11892,11907,11921,11938,11954,0,0,,,,,,,,,,,,
US-NR1,2002,GPP_DT_VUT_REF,349.8,6,0,11789,11815,11849,11872,11902,11958,11983,0,0,,,,,,,,,,,,
US-PFa,2002,GPP_DT_VUT_REF,414.6,8,0,11806,11832,11860,11884,11907,11935,11977,0,0,,,,,,,,,,,,
US-Syv,2002,GPP_DT_VUT_REF,343.7,11,0,11823,11840,11858,11870,11885,11931,11963,0,0,,,,,,,,,,,,
US-Ton,2002,GPP_DT_VUT_REF,263.2,6,1,11745,11773,11794,11807,11820,11851,11909,0,0,,,,,,,,,,,,
US-UMB,2002,GPP_DT_VUT_REF,392,10,0,11826,11844,11863,11879,11911,11956,11978,0,0,,,,,,,,,,,,
US-Var,2002,GPP_DT_VUT_REF,400.4,7,0,11681,11742,11771,11784,11796,11813,11828,0,0,,,,,,,,,,,,
US-WCr,2002,GPP_DT_VUT_REF,464.8,11,0,11828,11844,11865,11884,11915,11945,11965,0,0,,,,,,,,,,,,
US-Wi0,2002,GPP_DT_VUT_REF,344.1,7,1,11819,11849,11873,11887,11910,12037,12055,0,0,,,,,,,,,,,,
US-Wi4,2002,GPP_DT_VUT_REF,431.8,5,3,11749,11833,11865,11900,11922,11953,11982,0,0,,,,,,,,,,,,
US-Wi6,2002,GPP_DT_VUT_REF,202.8,6,0,11836,11853,11871,11886,11909,11943,11963,0,0,,,,,,,,,,,,
AT-Neu,2003,GPP_DT_VUT_REF,1001,12,0,12137,12157,12181,12244,12274,12306,12335,0,0,,,,,,,,,,,,
AU-Tum,2003,GPP_DT_VUT_REF,80.1,4,4,12074,12083,12094,12102,12126,12156,12240,0,0,,,,,,,,,,,,
BE-Vie,2003,GPP_DT_VUT_REF,715,10,0,12092,12166,12207,12225,12255,12318,12359,0,0,,,,,,,,,,,,
CA-Man,2003,GPP_DT_VUT_REF,451.7,5,0,12148,12185,12222,12265,12283,12312,12339,0,0,,,,,,,,,,,,
CA-NS1,2003,GPP_DT_VUT_REF,322.5,6,0,12159,12180,12204,12232,12260,12313,12344,0,0,,,,,,,,,,,,
CA-NS2,2003,GPP_DT_VUT_REF,289.1,6,0,12162,12185,12213,12235,12272,12310,12340,0,0,,,,,,,,,,,,
CA-NS3,2003,GPP_DT_VUT_REF,320.2,6,0,12164,12184,12211,12234,12263,12295,12338,0,0,,,,,,,,,,,,
CA-NS4,2003,GPP_DT_VUT_REF,295.2,4,0,12167,12189,12230,12257,12276,12308,12332,0,0,,,,,,,,,,,,
CA-NS5,2003,GPP_DT_VUT_REF,353.5,7,0,12170,12191,12218,12242,12273,12307,12334,0,0,,,,,,,,,,,,
CA-NS6,2003,GPP_DT_VUT_REF,162.2,4,0,12179,12200,12221,12236,12254,12294,12321,0,0,,,,,,,,,,,,
CA-NS7,2003,GPP_DT_VUT_REF,174.9,4,0,12184,12210,12233,12246,12263,12297,12320,0,0,,,,,,,,,,,,
CA-Qfo,2003,GPP_DT_VUT_REF,748,7,0,12051,12090,12174,12211,12247,12307,12337,0,0,,,,,,,,,,,,
CA-SF1,2003,GPP_DT_VUT_REF,571,8,1,12072,12117,12169,12192,12246,12285,12341,0,0,,,,,,,,,,,,
CA-SF2,2003,GPP_DT_VUT_REF,486.2,9,0,12154,12195,12224,12241,12260,12297,12343,0,0,,,,,,,,,,,,
CH-Dav,2003,GPP_DT_VUT_REF,440.7,7,0,12144,12163,12202,12232,12253,12323,12374,0,0,,,,,,,,,,,,
CH-Oe1,2003,GPP_DT_VUT_REF,428.4,13,0,12123,12141,12160,12173,12184,12205,12340,0,0,,,,,,,,,,,,
CN-Cha,2003,GPP_DT_VUT_REF,631.2,11,0,12164,12190,12217,12243,12286,12309,12330,0,0,,,,,,,,,,,,
CN-Ha2,2003,GPP_DT_VUT_REF,352.7,7,0,12188,12219,12247,12266,12282,12310,12334,0,0,,,,,,,,,,,,
CN-HaM,2003,GPP_DT_VUT_REF,381.5,7,0,12192,12217,12247,12267,12285,12313,12338,0,0,,,,,,,,,,,,
CN-Qia,2003,GPP_DT_VUT_REF,317.5,6,2,12132,12164,12202,12215,12228,12312,12365,0,0,,,,,,,,,,,,
DE-Geb,2003,GPP_DT_VUT_REF,525.3,14,0,12155,12174,12195,12208,12221,12239,12256,0,0,,,,,,,,,,,,
DE-Hai,2003,GPP_DT_VUT_REF,654,14,0,12162,12187,12213,12232,12251,12282,12344,0,0,,,,,,,,,,,,
DE-Tha,2003,GPP_DT_VUT_REF,619.5,11,0,12119,12160,12191,12210,12230,12296,12353,0,0,,,,,,,,,,,,
DK-Sor,2003,GPP_DT_VUT_REF,634.9,16,0,12157,12182,12204,12218,12237,12275,12338,0,0,,,,,,,,,,,,
FI-Hyy,2003,GPP_DT_VUT_REF,548.1,8,0,12157,12186,12217,12252,12274,12308,12339,0,0,,,,,,,,,,,,
FI-Jok,2003,GPP_DT_VUT_REF,409.7,8,0,12181,12205,12229,12252,12267,12284,12302,0,0,,,,,,,,,,,,
FI-Sod,2003,GPP_DT_VUT_REF,283.9,5,0,12167,12187,12218,12239,12261,12302,12336,0,0,,,,,,,,,,,,
FR-LBr,2003,GPP_DT_VUT_REF,633.6,8,0,12070,12134,12192,12212,12230,12265,12359,0,0,,,,,,,,,,,,
FR-Pue,2003,GPP_DT_VUT_REF,334.4,5,2,12085,12132,12188,12208,12225,12246,12263,0,0,,,,,,,,,,,,
IT-Col,2003,GPP_DT_VUT_REF,1271.3,10,1,12058,12100,12181,12231,12273,12306,12344,0,0,,,,,,,,,,,,
IT-Cpz,2003,GPP_DT_VUT_REF,577.6,7,2,12057,12116,12164,12196,12208,12347,12371,0,0,,,,,,,,,,,,
IT-Lav,2003,GPP_DT_VUT_REF,512.2,10,1,12105,12132,12165,12181,12203,12324,12349,0,0,,,,,,,,,,,,
IT-MBo,2003,GPP_DT_VUT_REF,399.4,11,0,12159,12176,12197,12210,12224,12287,12339,0,0,,,,,,,,,,,,
IT-PT1,2003,GPP_DT_VUT_REF,566.4,11,0,12141,12161,12184,12209,12226,12291,12339,0,0,,,,,,,,,,,,
IT-Ren,2003,GPP_DT_VUT_REF,767.4,8,0,12133,12161,12198,12255,12283,12321,12377,0,0,,,,,,,,,,,,
IT-Ro1,2003,GPP_DT_VUT_REF,427.9,11,1,12141,12163,12184,12197,12212,12236,12262,0,0,,,,,,,,,,,,
IT-Ro2,2003,GPP_DT_VUT_REF,489.3,14,0,12154,12173,12191,12204,12218,12244,12372,0,0,,,,,,,,,,,,
IT-SRo,2003,GPP_DT_VUT_REF,443.4,6,1,12065,12114,12161,12179,12208,12238,12336,0,0,,,,,,,,,,,,
JP-SMF,2003,GPP_DT_VUT_REF,240.1,6,1,12136,12170,12190,12202,12290,12331,12357,0,0,,,,,,,,,,,,
NL-Loo,2003,GPP_DT_VUT_REF,610.1,9,1,12097,12155,12198,12217,12255,12318,12366,0,0,,,,,,,,,,,,
RU-Cok,2003,GPP_DT_VUT_REF,157.1,5,0,12216,12236,12254,12265,12274,12290,12307,0,0,,,,,,,,,,,,
RU-Fyo,2003,GPP_DT_VUT_REF,708.6,9,0,12146,12170,12228,12255,12285,12319,12343,0,0,,,,,,,,,,,,
RU-Ha1,2003,GPP_DT_VUT_REF,239.6,5,0,12171,12197,12218,12235,12270,12301,12324,0,0,,,,,,,,,,,,
US-ARM,2003,GPP_DT_VUT_REF,208.2,5,1,12103,12124,12148,12161,12171,12186,12245,0,0,,,,,,,,,,,,
US-Blo,2003,GPP_DT_VUT_REF,345.1,5,1,12070,12177,12203,12221,12276,12312,12348,0,0,,,,,,,,,,,,
US-Ha1,2003,GPP_DT_VUT_REF,833,13,0,12167,12201,12227,12261,12288,12329,12415,0,0,,,,,,,,,,,,
US-KS2,2003,GPP_DT_VUT_REF,273.4,5,2,12133,12150,12177,12201,12282,12323,12355,0,0,,,,,,,,,,,,
US-Los,2003,GPP_DT_VUT_REF,334.4,8,0,12190,12211,12233,12253,12275,12306,12328,0,0,,,,,,,,,,,,
US-Me2,2003,GPP_DT_VUT_REF,522.6,7,1,12078,12176,12213,12226,12238,12256,12387,0,0,,,,,,,,,,,,
US-MMS,2003,GPP_DT_VUT_REF,791.6,12,0,12163,12182,12221,12249,12273,12315,12343,0,0,,,,,,,,,,,,
US-Ne1,2003,GPP_DT_VUT_REF,770.4,21,0,12212,12229,12249,12264,12280,12301,12320,0,0,,,,,,,,,,,,
US-Ne2,2003,GPP_DT_VUT_REF,895,26,-1,12212,12229,12248,12262,12278,12301,12321,0,0,,,,,,,,,,,,
US-Ne3,2003,GPP_DT_VUT_REF,648.3,21,0,12209,12226,12243,12255,12270,12293,12312,0,0,,,,,,,,,,,,
US-NR1,2003,GPP_DT_VUT_REF,282.8,6,0,12163,12185,12207,12228,12275,12330,12354,0,0,,,,,,,,,,,,
US-PFa,2003,GPP_DT_VUT_REF,492.6,8,0,12135,12200,12229,12246,12266,12307,12337,0,0,,,,,,,,,,,,
US-Syv,2003,GPP_DT_VUT_REF,496.1,8,0,12167,12198,12230,12256,12277,12311,12336,0,0,,,,,,,,,,,,
US-Ton,2003,GPP_DT_VUT_REF,398.6,6,1,12054,12129,12160,12177,12195,12222,12295,0,0,,,,,,,,,,,,
US-UMB,2003,GPP_DT_VUT_REF,443.6,11,0,12185,12206,12227,12244,12285,12316,12339,0,0,,,,,,,,,,,,
US-Var,2003,GPP_DT_VUT_REF,588.5,8,0,12043,12099,12142,12163,12179,12201,12218,0,0,,,,,,,,,,,,
US-WCr,2003,GPP_DT_VUT_REF,675,13,0,12188,12207,12234,12258,12278,12309,12332,0,0,,,,,,,,,,,,
US-Wi4,2003,GPP_DT_VUT_REF,746.9,9,2,12086,12174,12226,12244,12264,12288,12375,0,0,,,,,,,,,,,,
ZA-Kru,2003,GPP_DT_VUT_REF,401.9,5,0,11983,12012,12094,12118,12129,12145,12230,0,0,,,,,,,,,,,,
AT-Neu,2004,GPP_DT_VUT_REF,412.5,14,0,12510,12526,12542,12554,12566,12669,12719,0,0,,,,,,,,,,,,
AU-How,2004,GPP_DT_VUT_REF,522.9,5,2,12329,12354,12482,12498,12516,12559,12642,0,0,,,,,,,,,,,,
AU-Tum,2004,GPP_DT_VUT_REF,936.1,9,0,12333,12360,12463,12478,12492,12533,12564,0,0,,,,,,,,,,,,
BE-Lon,2004,GPP_DT_VUT_REF,580.3,15,0,12556,12573,12592,12609,12629,12676,12706,0,0,,,,,,,,,,,,
BE-Vie,2004,GPP_DT_VUT_REF,569.9,9,1,12489,12525,12557,12580,12609,12671,12718,0,0,,,,,,,,,,,,
CA-NS1,2004,GPP_DT_VUT_REF,302.2,6,0,12548,12565,12590,12614,12639,12676,12702,0,0,,,,,,,,,,,,
CA-NS2,2004,GPP_DT_VUT_REF,251.7,5,0,12546,12564,12590,12611,12640,12674,12703,0,0,,,,,,,,,,,,
CA-NS3,2004,GPP_DT_VUT_REF,273.5,6,0,12550,12568,12594,12613,12646,12675,12704,0,0,,,,,,,,,,,,
CA-NS5,2004,GPP_DT_VUT_REF,283.4,6,0,12551,12570,12601,12617,12638,12675,12700,0,0,,,,,,,,,,,,
CA-NS6,2004,GPP_DT_VUT_REF,178.1,5,0,12566,12588,12608,12623,12645,12669,12692,0,0,,,,,,,,,,,,
CA-NS7,2004,GPP_DT_VUT_REF,224.1,5,0,12564,12588,12615,12632,12648,12668,12689,0,0,,,,,,,,,,,,
CA-Qfo,2004,GPP_DT_VUT_REF,310.2,5,0,12542,12566,12602,12627,12647,12691,12718,0,0,,,,,,,,,,,,
CA-SF1,2004,GPP_DT_VUT_REF,416.2,6,1,12495,12565,12600,12620,12643,12676,12727,0,0,,,,,,,,,,,,
CA-SF2,2004,GPP_DT_VUT_REF,511.6,9,1,12544,12578,12610,12628,12645,12669,12710,0,0,,,,,,,,,,,,
CA-SF3,2004,GPP_DT_VUT_REF,252.4,4,0,12472,12589,12609,12622,12638,12664,12696,0,0,,,,,,,,,,,,
CH-Dav,2004,GPP_DT_VUT_REF,493.1,6,0,12506,12527,12592,12615,12639,12707,12733,0,0,,,,,,,,,,,,
CH-Lae,2004,GPP_DT_VUT_REF,1739.6,15,1,12429,12470,12550,12595,12645,12683,12709,0,0,,,,,,,,,,,,
CH-Oe1,2004,GPP_DT_VUT_REF,349.9,10,1,12478,12500,12519,12530,12539,12647,12704,0,0,,,,,,,,,,,,
CH-Oe2,2004,GPP_DT_VUT_REF,547.3,14,0,12508,12526,12547,12565,12592,12616,12635,0,0,,,,,,,,,,,,
CN-Cha,2004,GPP_DT_VUT_REF,488.1,11,1,12534,12558,12581,12597,12619,12672,12700,0,0,,,,,,,,,,,,
CN-Din,2004,GPP_DT_VUT_REF,520.5,5,2,12513,12531,12669,12681,12697,12772,12801,0,0,,,,,,,,,,,,
CN-Ha2,2004,GPP_DT_VUT_REF,383.9,8,0,12550,12581,12606,12623,12641,12670,12692,0,0,,,,,,,,,,,,
CN-HaM,2004,GPP_DT_VUT_REF,335.6,7,0,12554,12578,12603,12620,12641,12675,12697,0,0,,,,,,,,,,,,
CN-Qia,2004,GPP_DT_VUT_REF,668.1,6,2,12465,12529,12569,12631,12654,12726,12773,0,0,,,,,,,,,,,,
CZ-BK1,2004,GPP_DT_VUT_REF,803.2,7,2,12443,12479,12516,12615,12636,12655,12671,0,0,,,,,,,,,,,,
DE-Geb,2004,GPP_DT_VUT_REF,653.2,14,0,12503,12527,12555,12573,12588,12610,12629,0,0,,,,,,,,,,,,
DE-Gri,2004,GPP_DT_VUT_REF,458.3,8,0,12495,12523,12552,12575,12590,12677,12721,0,0,,,,,,,,,,,,
DE-Hai,2004,GPP_DT_VUT_REF,532.3,12,0,12524,12548,12574,12591,12631,12680,12707,0,0,,,,,,,,,,,,
DE-Kli,2004,GPP_DT_VUT_REF,1176.2,12,1,12443,12477,12509,12570,12584,12606,12721,0,0,,,,,,,,,,,,
DE-Tha,2004,GPP_DT_VUT_REF,737.1,11,0,12491,12523,12573,12590,12612,12676,12726,0,0,,,,,,,,,,,,
DK-Sor,2004,GPP_DT_VUT_REF,577.6,13,0,12511,12532,12556,12574,12635,12680,12709,0,0,,,,,,,,,,,,
FI-Hyy,2004,GPP_DT_VUT_REF,558.4,8,0,12517,12544,12584,12613,12640,12671,12712,0,0,,,,,,,,,,,,
FI-Sod,2004,GPP_DT_VUT_REF,328.5,7,0,12538,12576,12605,12618,12632,12661,12704,0,0,,,,,,,,,,,,
FR-Gri,2004,GPP_DT_VUT_REF,691.7,11,1,12451,12497,12547,12561,12571,12586,12599,0,0,,,,,,,,,,,,
FR-LBr,2004,GPP_DT_VUT_REF,575.8,7,2,12459,12523,12569,12591,12623,12691,12738,0,0,,,,,,,,,,,,
FR-Pue,2004,GPP_DT_VUT_REF,357.5,5,2,12453,12512,12565,12580,12594,12686,12720,0,0,,,,,,,,,,,,
IT-BCi,2004,GPP_DT_VUT_REF,938.8,12,3,12477,12560,12597,12622,12636,12654,12668,0,0,,,,,,,,,,,,
IT-Col,2004,GPP_DT_VUT_REF,465.5,5,3,12481,12545,12621,12639,12667,12702,12719,0,0,,,,,,,,,,,,
IT-Cpz,2004,GPP_DT_VUT_REF,749.4,7,2,12446,12482,12544,12598,12623,12698,12735,0,0,,,,,,,,,,,,
IT-Lav,2004,GPP_DT_VUT_REF,892.6,12,1,12486,12518,12578,12597,12612,12694,12732,0,0,,,,,,,,,,,,
IT-MBo,2004,GPP_DT_VUT_REF,364,11,0,12547,12564,12581,12594,12610,12677,12720,0,0,,,,,,,,,,,,
IT-PT1,2004,GPP_DT_VUT_REF,932,12,0,12502,12528,12554,12600,12627,12658,12681,0,0,,,,,,,,,,,,
IT-Ro1,2004,GPP_DT_VUT_REF,639.4,13,0,12495,12530,12558,12573,12588,12620,12730,0,0,,,,,,,,,,,,
IT-Ro2,2004,GPP_DT_VUT_REF,590.1,13,0,12517,12542,12564,12582,12605,12644,12722,0,0,,,,,,,,,,,,
IT-SRo,2004,GPP_DT_VUT_REF,370.2,6,2,12469,12504,12557,12570,12591,12646,12722,0,0,,,,,,,,,,,,
JP-SMF,2004,GPP_DT_VUT_REF,547.4,9,1,12493,12553,12589,12607,12623,12650,12750,0,0,,,,,,,,,,,,
NL-Hor,2004,GPP_DT_VUT_REF,726.1,7,0,12458,12499,12556,12603,12631,12689,12726,0,0,,,,,,,,,,,,
NL-Loo,2004,GPP_DT_VUT_REF,754.1,9,1,12477,12514,12554,12599,12640,12697,12735,0,0,,,,,,,,,,,,
